Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-324,O'CONNOR-RATCLIFF v. GARNIER,3/15/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,JGRoberts,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,CThomas,Judgment of the Court,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,SSotomayor,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,EKagan,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,BMKavanaugh,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,ACBarrett,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-704,VIDAL v. ELSTER,6/13/2024,KBJackson,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,JGRoberts,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,CThomas,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,SAAlito,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,SSotomayor,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,EKagan,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,NMGorsuch,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,BMKavanaugh,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,ACBarrett,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-846,DEPARTMENT OF AGRICULTURE RURAL DEVELOPMENT RURAL HOUSING SERVICE v. KIRTZ,2/8/2024,KBJackson,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,CThomas,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,SSotomayor,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,EKagan,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,NMGorsuch,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,BMKavanaugh,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,ACBarrett,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-915,UNITED STATES v. RAHIMI,6/21/2024,KBJackson,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,CThomas,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
