Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,NMGorsuch,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,BMKavanaugh,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-984,HELIX ENERGY SOLUTIONS GROUP v. HEWITT,2/22/2023,KBJackson,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,CThomas,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,SSotomayor,dissent,Respondent,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,EKagan,dissent,Respondent,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,NMGorsuch,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,BMKavanaugh,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,20-1199,STUDENTS FOR FAIR ADMISSIONS INC. v. PRESIDENT & FELLOWS OF HARVARD COLLEGE,6/29/2023,KBJackson,,,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,CThomas,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,SAAlito,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,EKagan,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,NMGorsuch,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,ACBarrett,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-846,CRUZ v. ARIZONA,2/22/2023,KBJackson,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,SSotomayor,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,EKagan,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,NMGorsuch,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-857,JONES v. HENDRIX,6/22/2023,KBJackson,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,CThomas,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,SSotomayor,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,EKagan,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,NMGorsuch,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,ACBarrett,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1195,BITTNER v. UNITED STATES,2/28/2023,KBJackson,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,CThomas,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
